Number of Vectors,Dimension of each Vector,Length of the solution,Dispersion,Solution,Time CPU (seconds),Generated Nodes,Lower Bound,Strategy
15,2,2,11.859216,[0.58 1.29][8.65 9.98],0.0492837,0,Greedy,Depth-First
15,2,3,27.3727,[9.11 3.23][0.58 1.29][8.65 9.98],0.0052738,159,Greedy,Depth-First
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.038139,2329,Greedy,Depth-First
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.3692674,27124,Greedy,Depth-First
15,3,2,13.27324,[0.30 0.92 4.23][9.88 9.88 6.26],8.53e-05,0,Greedy,Depth-First
15,3,3,31.868526,[1.71 1.95 9.22][5.17 1.39 0.91][9.88 9.88 6.26],0.0013271,154,Greedy,Depth-First
15,3,4,59.76376,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.014319,1575,Greedy,Depth-First
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.2116309,13733,Greedy,Depth-First
20,2,2,8.510329,[0.63 5.96][8.67 3.17],0.0003919,0,Greedy,Depth-First
20,2,3,21.996086,[8.57 8.36][0.63 5.96][8.67 3.17],0.0089225,156,Greedy,Depth-First
20,2,4,40.00226,[3.47 9.43][1.16 4.47][8.57 8.36][8.67 3.17],0.1194285,3049,Greedy,Depth-First
20,2,5,63.65168,[3.47 9.43][8.57 8.36][1.97 3.50][0.63 5.96][8.67 3.17],1.1596974,39900,Greedy,Depth-First
20,3,2,11.80031,[9.81 2.05 1.83][0.65 3.76 9.07],0.0001734,0,Greedy,Depth-First
20,3,3,30.87266,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0061889,136,Greedy,Depth-First
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0523057,2011,Greedy,Depth-First
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.453384,13828,Greedy,Depth-First
30,2,2,11.657144,[9.84 8.96][2.07 0.27],0.0005764,0,Greedy,Depth-First
30,2,3,28.9443,[1.91 9.60][9.84 8.96][2.07 0.27],0.0107232,302,Greedy,Depth-First
30,2,4,52.77117,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.1795688,5148,Greedy,Depth-First
30,2,5,80.91025,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],4.9800197,141852,Greedy,Depth-First
30,3,2,13.073737,[6.71 0.35 9.42][8.06 9.59 0.27],0.0003575,0,Greedy,Depth-First
30,3,3,34.290527,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0094282,248,Greedy,Depth-First
30,3,4,63.70196,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.1816335,3941,Greedy,Depth-First
30,3,5,99.59205,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],3.5886891,88394,Greedy,Depth-First
