Number of Vectors,Dimension of each Vector,Length of the solution,Dispersion,Solution,Time CPU (seconds),Generated Nodes,Lower Bound,Strategy
15,2,2,11.859216,[0.58 1.29][8.65 9.98],0.0028669,0,Greedy,Lowest Bound
15,2,3,27.3727,[9.11 3.23][0.58 1.29][8.65 9.98],0.0024542,161,Greedy,Lowest Bound
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.0205516,2343,Greedy,Lowest Bound
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.2626457,27190,Greedy,Lowest Bound
15,3,2,13.27324,[0.30 0.92 4.23][9.88 9.88 6.26],0.0001377,0,Greedy,Lowest Bound
15,3,3,31.868526,[1.71 1.95 9.22][5.17 1.39 0.91][9.88 9.88 6.26],0.0035078,154,Greedy,Lowest Bound
15,3,4,59.76376,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.0233726,1575,Greedy,Lowest Bound
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.1623628,13677,Greedy,Lowest Bound
20,2,2,8.510329,[0.63 5.96][8.67 3.17],0.0001659,0,Greedy,Lowest Bound
20,2,3,21.996086,[8.57 8.36][0.63 5.96][8.67 3.17],0.0035149,156,Greedy,Lowest Bound
20,2,4,40.00226,[3.47 9.43][1.16 4.47][8.57 8.36][8.67 3.17],0.0394617,3055,Greedy,Lowest Bound
20,2,5,63.65168,[3.47 9.43][8.57 8.36][1.97 3.50][0.63 5.96][8.67 3.17],0.7303447,39965,Greedy,Lowest Bound
20,3,2,11.80031,[9.81 2.05 1.83][0.65 3.76 9.07],0.0001933,0,Greedy,Lowest Bound
20,3,3,30.87266,[8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07],0.0046004,136,Greedy,Lowest Bound
20,3,4,56.690315,[0.83 7.06 3.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.0378945,2010,Greedy,Lowest Bound
20,3,5,92.82976,[0.83 7.06 3.34][8.87 9.56 5.34][9.81 2.05 1.83][0.65 3.76 9.07][9.60 2.02 9.00],0.4393323,13828,Greedy,Lowest Bound
30,2,2,11.657144,[9.84 8.96][2.07 0.27],0.0006839,0,Greedy,Lowest Bound
30,2,3,28.9443,[1.91 9.60][9.84 8.96][2.07 0.27],0.0253883,302,Greedy,Lowest Bound
30,2,4,52.77117,[1.91 9.60][9.84 8.96][8.00 1.53][2.07 0.27],0.4749125,5148,Greedy,Lowest Bound
30,2,5,80.91025,[1.91 9.60][9.84 8.96][8.00 1.53][0.65 3.26][2.07 0.27],8.5867668,141852,Greedy,Lowest Bound
30,3,2,13.073737,[6.71 0.35 9.42][8.06 9.59 0.27],0.0005544,0,Greedy,Lowest Bound
30,3,3,34.290527,[8.32 0.47 8.98][8.06 9.59 0.27][1.53 8.09 9.56],0.0115539,248,Greedy,Lowest Bound
30,3,4,63.70196,[8.32 0.47 8.98][6.75 0.07 1.80][8.06 9.59 0.27][1.53 8.09 9.56],0.1502686,3940,Greedy,Lowest Bound
30,3,5,99.59205,[8.32 0.47 8.98][6.75 0.07 1.80][7.54 8.93 9.66][8.06 9.59 0.27][1.53 8.09 9.56],2.9630423,88346,Greedy,Lowest Bound
