Number of Vectors,Dimension of each Vector,Length of the solution,Dispersion,Solution,Time CPU (seconds),Generated Nodes,Lower Bound,Strategy
15,2,2,11.859216,[0.58 1.29][8.65 9.98],0.005062,0,Greedy,Lowest Bound
15,2,3,23.718431,[0.58 1.29][8.65 9.98],9.21E-05,0,Greedy,Lowest Bound
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.0575966,2135,Greedy,Lowest Bound
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.5863369,35715,Greedy,Lowest Bound
15,2,2,11.859216,[0.58 1.29][8.65 9.98],0.0015385,0,Grasp,Lowest Bound
15,2,3,27.372702,[9.11 3.23][0.58 1.29][8.65 9.98],0.0024528,0,Grasp,Lowest Bound
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.0277109,2135,Grasp,Lowest Bound
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.5676307,35715,Grasp,Lowest Bound
15,2,2,11.859216,[0.58 1.29][8.65 9.98],5.03E-05,0,Greedy,Depth-First
15,2,3,23.718431,[0.58 1.29][8.65 9.98],3.56E-05,0,Greedy,Depth-First
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.028135,2380,Greedy,Depth-First
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.5410204,35715,Greedy,Depth-First
15,2,2,11.859216,[0.58 1.29][8.65 9.98],0.0017149,0,Grasp,Depth-First
15,2,3,27.372702,[9.11 3.23][0.58 1.29][8.65 9.98],0.0014901,0,Grasp,Depth-First
15,2,4,49.826782,[9.11 3.23][0.16 4.62][0.58 1.29][8.65 9.98],0.0222872,2135,Grasp,Depth-First
15,2,5,79.12953,[9.11 3.23][9.96 8.17][0.16 4.62][0.58 1.29][8.65 9.98],0.8773149,35715,Grasp,Depth-First
15,3,2,13.27324,[0.30 0.92 4.23][9.88 9.88 6.26],0.0001466,0,Greedy,Lowest Bound
15,3,3,26.54648,[0.30 0.92 4.23][9.88 9.88 6.26],0.0001777,0,Greedy,Lowest Bound
15,3,4,59.76376,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.042508,1397,Greedy,Lowest Bound
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.6834267,35715,Greedy,Lowest Bound
15,3,2,13.273241,[0.30 0.92 4.23][9.88 9.88 6.26],0.0013772,0,Grasp,Lowest Bound
15,3,3,31.86853,[1.71 1.95 9.22][5.17 1.39 0.91][9.88 9.88 6.26],0.0012462,0,Grasp,Lowest Bound
15,3,4,59.763763,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.0208786,1397,Grasp,Lowest Bound
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.7377702,35715,Grasp,Lowest Bound
15,3,2,13.27324,[0.30 0.92 4.23][9.88 9.88 6.26],7.15E-05,0,Greedy,Depth-First
15,3,3,26.54648,[0.30 0.92 4.23][9.88 9.88 6.26],0.0001035,0,Greedy,Depth-First
15,3,4,59.76376,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.0362666,2166,Greedy,Depth-First
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.6413102,35715,Greedy,Depth-First
15,3,2,13.273241,[0.30 0.92 4.23][9.88 9.88 6.26],0.0018888,0,Grasp,Depth-First
15,3,3,31.86853,[1.71 1.95 9.22][5.17 1.39 0.91][9.88 9.88 6.26],0.0012371,0,Grasp,Depth-First
15,3,4,59.76377,[1.71 1.95 9.22][0.30 0.92 4.23][6.65 9.45 1.02][9.88 9.88 6.26],0.0138598,1397,Grasp,Depth-First
15,3,5,96.08584,[1.15 9.21 3.11][1.71 1.95 9.22][0.30 0.92 4.23][9.88 9.88 6.26][9.47 3.56 1.83],0.7443193,35715,Grasp,Depth-First
20,2,2,8.510329,[0.63 5.96][8.67 3.17],9.81E-05,0,Greedy,Lowest Bound
20,2,3,21.996086,[8.57 8.36][0.63 5.96][8.67 3.17],0.0006334,0,Greedy,Lowest Bound
20,2,4,40.00226,[3.47 9.43][1.16 4.47][8.57 8.36][8.67 3.17],0.0324839,1562,Greedy,Lowest Bound
20,2,5,63.65168,[3.47 9.43][8.57 8.36][1.97 3.50][0.63 5.96][8.67 3.17],5.6044464,121468,Greedy,Lowest Bound
20,2,2,8.51033,[0.63 5.96][8.67 3.17],0.0014737,0,Grasp,Lowest Bound
20,2,3,21.99609,[8.57 8.36][0.63 5.96][8.67 3.17],0.0016208,0,Grasp,Lowest Bound
20,2,4,40.00226,[3.47 9.43][1.16 4.47][8.57 8.36][8.67 3.17],0.035122,1562,Grasp,Lowest Bound
20,2,5,63.65168,[3.47 9.43][8.57 8.36][1.97 3.50][0.63 5.96][8.67 3.17],5.86145,121468,Grasp,Lowest Bound
20,2,2,8.510329,[0.63 5.96][8.67 3.17],4.57E-05,0,Greedy,Depth-First
20,2,3,21.996086,[8.57 8.36][0.63 5.96][8.67 3.17],6E-05,0,Greedy,Depth-First
20,2,4,40.00226,[3.47 9.43][1.16 4.47][8.57 8.36][8.67 3.17],0.0394245,2107,Greedy,Depth-First
20,2,5,63.65168,[3.47 9.43][8.57 8.36][1.97 3.50][0.63 5.96][8.67 3.17],4.8838773,122404,Greedy,Depth-First
